iter	Logloss
0	0.6887632751
1	0.6859801483
2	0.6823400116
3	0.6792718506
4	0.675153656
5	0.6715116882
6	0.6682572937
7	0.6657264709
8	0.6621164703
9	0.658131485
10	0.6549770355
11	0.6516680145
12	0.6497802734
13	0.6467952728
14	0.6433407593
15	0.6409067535
16	0.6386769104
17	0.6364448166
18	0.6332062531
19	0.630550766
20	0.6272512054
21	0.6253779602
22	0.6228401184
23	0.6197484207
24	0.6166562271
25	0.6144520569
26	0.6128333282
27	0.6101647186
28	0.6082426071
29	0.6059945679
30	0.6038805389
31	0.6013674164
32	0.5990703201
33	0.5969655991
34	0.5941490936
35	0.5918502808
36	0.5898081589
37	0.5875673294
38	0.5863663483
39	0.5843344879
40	0.5830589676
41	0.5809821701
42	0.5786440277
43	0.5764100647
44	0.5742207336
45	0.5726450348
46	0.5701487732
47	0.5685396576
48	0.5668253326
49	0.5653605652
50	0.5637573242
51	0.5620892715
52	0.5609709549
53	0.559330101
54	0.5576858521
55	0.5563557816
56	0.554729538
57	0.5532382202
58	0.5515790558
59	0.5505518341
60	0.5486522293
61	0.5471749115
62	0.5457019424
63	0.5439486694
64	0.5423687744
65	0.5409299469
66	0.5397407532
67	0.5382942581
68	0.5367208481
69	0.5356229401
70	0.5344379425
71	0.5331142426
72	0.5316255188
73	0.5305128479
74	0.5295288467
75	0.5285456848
76	0.527412529
77	0.5261540604
78	0.5247564316
79	0.5238293457
80	0.5226819611
81	0.5216518402
82	0.5203834534
83	0.5195478058
84	0.5185812378
85	0.517494545
86	0.5164766693
87	0.5155291748
88	0.5144797516
89	0.5135541153
90	0.5122443771
91	0.5108176804
92	0.509777298
93	0.5087639618
94	0.5081493378
95	0.5071421051
96	0.5059073639
97	0.5047160339
98	0.503459549
99	0.502220993
100	0.5007533264
101	0.4999552155
102	0.4987499237
103	0.4976903534
104	0.4964400864
105	0.4954382324
106	0.4947475433
107	0.4935982513
108	0.4926276398
109	0.4916027832
110	0.4908448792
111	0.4894676971
112	0.4885018158
113	0.4878939819
114	0.4870511627
115	0.4858708191
116	0.4849360275
117	0.4838894653
118	0.4828823471
119	0.4819892502
120	0.4812049103
121	0.4805531311
122	0.4796156693
123	0.4788310242
124	0.4780610275
125	0.4775774384
126	0.47612957
127	0.4751392746
128	0.4742647552
129	0.4733180237
130	0.4726965332
131	0.4721437073
132	0.470977478
133	0.4704086685
134	0.4697681808
135	0.4689519119
136	0.4682995987
137	0.4674133301
138	0.4665947723
139	0.4656898499
140	0.465149765
141	0.4642422104
142	0.463452301
143	0.4630259705
144	0.4623007965
145	0.4616540909
146	0.4608758545
147	0.4600528717
148	0.4591943741
149	0.4585230255
150	0.4579053116
151	0.4574190903
152	0.456897316
153	0.4564202118
154	0.4558080292
155	0.4549076843
156	0.45427742
157	0.4537685776
158	0.4531315613
159	0.4522222519
160	0.451585083
161	0.4508744431
162	0.4503157043
163	0.4496376038
164	0.4487743378
165	0.4481808853
166	0.4474824905
167	0.4467562103
168	0.4457269669
169	0.4448548126
170	0.4440833282
171	0.4433966827
172	0.4426177979
173	0.4422737885
174	0.4416996002
175	0.4413948822
176	0.4408590698
177	0.4404096222
178	0.4399428558
179	0.4392097473
180	0.4387771606
181	0.4382593918
182	0.4374537659
183	0.4366175842
184	0.4360609055
185	0.4353252029
186	0.4350052643
187	0.4344070435
188	0.4339025116
189	0.4334029388
190	0.4330220795
191	0.4325391388
192	0.4318726349
193	0.4309173584
194	0.430353241
195	0.4296729279
196	0.4290330505
197	0.4284715652
198	0.4280325317
199	0.4274907303
200	0.4268861389
201	0.4262987137
202	0.4254117203
203	0.4245964813
204	0.4242375946
205	0.4237753296
206	0.4232079315
207	0.4226858902
208	0.4221110535
209	0.421725769
210	0.4212652969
211	0.4208105469
212	0.4199974823
213	0.4196099854
214	0.4192306519
215	0.4187601089
216	0.4183637238
217	0.4176982117
218	0.417096405
219	0.4163245773
220	0.4158592987
221	0.4153704071
222	0.4148103333
223	0.4144338608
224	0.4139194107
225	0.4135020447
226	0.412946434
227	0.4124521637
228	0.4119287109
229	0.4114583969
230	0.411139679
231	0.4104372406
232	0.4098738861
233	0.4092123032
234	0.4085871124
235	0.4078835678
236	0.407161293
237	0.4066152191
238	0.4060092163
239	0.4056216812
240	0.4051642609
241	0.404679718
