iter	Logloss
0	0.6742271423
1	0.6606692314
2	0.6446122169
3	0.6304525852
4	0.6233922958
5	0.6132230282
6	0.6035682678
7	0.5931335926
8	0.5859298706
9	0.5808515549
10	0.5759980679
11	0.5705118179
12	0.5661294937
13	0.5607750893
14	0.5559905052
15	0.5529710293
16	0.5459816933
17	0.5434704781
18	0.5405653954
19	0.5367512703
20	0.5326267242
21	0.5295668602
22	0.5255092621
23	0.5223913193
24	0.5188066483
25	0.5160971165
26	0.5130570889
27	0.5098259926
28	0.5078748226
29	0.5049916267
30	0.5026059151
31	0.5009428501
32	0.4975996971
33	0.4947406769
34	0.4915049076
35	0.4899820328
36	0.4883662224
37	0.4869390488
38	0.4846894264
39	0.4831765652
40	0.4816304684
41	0.4792402744
42	0.477536869
43	0.4757038116
44	0.4747135162
45	0.4735387802
46	0.4714457035
47	0.4703720093
48	0.4695026875
49	0.4677754879
50	0.4660918713
51	0.465037632
52	0.4634443283
53	0.4609395027
54	0.4594434738
55	0.4576198578
56	0.4564758301
57	0.4546447754
58	0.4531939507
59	0.4523077965
60	0.451157093
61	0.4494951248
62	0.4479938507
63	0.4469256878
64	0.4451450825
65	0.4430691719
66	0.4417678356
67	0.4397978783
68	0.4380161285
69	0.4369776249
70	0.435832262
71	0.4346634865
72	0.4340641975
73	0.433793211
74	0.4326570511
75	0.4310125828
76	0.4297802925
77	0.4288138866
78	0.427882576
79	0.4268505096
80	0.4254259586
81	0.4242722511
82	0.4227296829
83	0.4211269379
84	0.4195471764
85	0.4189567089
86	0.4172141075
87	0.4164898872
88	0.4143817902
89	0.4131640434
90	0.4124536514
91	0.411100626
92	0.4103198528
93	0.4094517231
94	0.4076856613
95	0.4063000202
96	0.4057221413
97	0.4046840191
98	0.4031122208
99	0.401916647
100	0.4005629063
101	0.3998461723
102	0.39898839
103	0.3970166922
104	0.3959182739
105	0.3952343941
106	0.3936898232
107	0.3925036192
108	0.3913046837
109	0.3900932312
110	0.389142704
111	0.3883911133
112	0.3880366325
113	0.3871337891
114	0.3849011898
115	0.3838171244
116	0.3831713676
117	0.3826876163
118	0.3804960966
119	0.3791405439
120	0.3780675411
121	0.3760763645
122	0.3755120277
123	0.3744882584
124	0.373382473
125	0.3722413063
126	0.3711833954
127	0.3705997944
128	0.3698406458
129	0.3688473701
130	0.3679490089
131	0.3672440767
132	0.3665049553
133	0.3652104855
134	0.3646252632
135	0.3636073351
136	0.3623509645
137	0.3614860535
138	0.3606559277
139	0.3595966578
140	0.3584897041
141	0.3567236423
142	0.3558637381
143	0.3548987865
144	0.352805233
145	0.3522570372
146	0.3514873266
147	0.3496254444
148	0.3486160517
149	0.3477035522
150	0.3470123291
151	0.346121645
152	0.3444937229
153	0.3435834885
154	0.342012167
155	0.3408032179
156	0.3398316145
157	0.3391094208
158	0.338394928
159	0.3368434429
160	0.3362252474
161	0.3356057167
162	0.3350150347
163	0.3337562799
164	0.3332449675
165	0.3322447777
166	0.3315453053
167	0.330462122
168	0.3295530081
169	0.3284466743
170	0.3275371313
171	0.3271391392
172	0.3261658669
173	0.3255727291
174	0.324072361
175	0.322625351
176	0.3213827372
177	0.3211050034
178	0.3207270861
179	0.3202643871
180	0.3199542761
181	0.3192312956
182	0.3191476822
183	0.3175370216
184	0.3168308735
185	0.3160324574
186	0.3144210815
187	0.3136313915
188	0.3132108212
189	0.3124839306
190	0.3124078751
191	0.3117077827
192	0.3107852936
193	0.3100007296
194	0.3093447685
195	0.3083718777
196	0.3072755337
197	0.3064581156
198	0.3057320595
199	0.3054749489
