iter	Passed	Remaining
0	1	250
1	2	238
2	3	231
3	4	225
4	6	239
5	7	235
6	8	231
7	9	227
8	10	224
9	11	221
10	12	218
11	13	216
12	14	210
13	15	209
14	16	207
15	17	205
16	18	204
17	20	203
18	21	203
19	22	202
20	23	201
21	24	200
22	25	198
23	26	197
24	27	195
25	29	194
26	30	193
27	31	191
28	32	190
29	33	189
30	34	187
31	35	186
32	36	185
33	37	184
34	38	183
35	40	182
36	41	181
37	42	180
38	43	179
39	44	177
40	45	176
41	46	175
42	47	174
43	48	173
44	49	172
45	51	170
46	52	169
47	53	168
48	54	167
49	55	166
50	56	165
51	57	164
52	58	163
53	59	162
54	61	160
55	62	159
56	63	158
57	64	157
58	65	156
59	66	154
60	67	153
61	68	152
62	69	151
63	70	150
64	71	149
65	73	148
66	74	147
67	75	145
68	76	144
69	77	143
70	78	142
71	79	141
72	80	140
73	81	139
74	82	137
75	83	136
76	84	135
77	86	134
78	87	133
79	88	132
80	89	131
81	90	130
82	91	129
83	92	127
84	93	126
85	94	125
86	95	124
87	96	123
88	97	122
89	99	121
90	100	120
91	101	119
92	102	118
93	103	117
94	104	115
95	106	114
96	107	113
97	108	112
98	109	111
99	110	110
100	111	109
101	112	108
102	113	106
103	114	105
104	115	104
105	116	103
106	118	102
107	119	101
108	120	100
109	121	99
110	122	98
111	124	97
112	125	96
113	126	95
114	127	94
115	128	93
116	129	92
117	131	91
118	132	90
119	133	88
120	134	87
121	135	86
122	137	85
123	138	84
124	139	83
125	140	82
126	141	81
127	142	80
128	143	79
129	145	78
130	146	77
131	147	75
132	148	74
133	149	73
134	150	72
135	152	71
136	153	70
137	154	69
138	155	68
139	156	67
140	157	65
141	158	64
142	159	63
143	160	62
144	162	61
145	163	60
146	164	59
147	165	58
148	166	56
149	167	55
150	168	54
151	169	53
152	170	52
153	171	51
154	173	50
155	174	49
156	175	48
157	176	46
158	177	45
159	178	44
160	179	43
161	180	42
162	181	41
163	182	40
164	184	39
165	185	37
166	186	36
167	187	35
168	188	34
169	189	33
170	190	32
171	191	31
172	192	30
173	193	28
174	195	27
175	196	26
176	197	25
177	198	24
178	199	23
179	200	22
180	201	21
181	202	20
182	203	18
183	204	17
184	205	16
185	207	15
186	208	14
187	209	13
188	210	12
189	211	11
190	212	10
191	213	8
192	214	7
193	215	6
194	217	5
195	218	4
196	219	3
197	220	2
198	221	1
199	222	0
