,accuracy,f1,auc
Logistic Regression,0.78,0.5925925925925926,0.8040476190476191
Random Forest,0.765,0.5154639175257731,0.7982142857142858
AdaBoost,0.75,0.5454545454545454,0.7643452380952381
KNN,0.725,0.4329896907216495,0.7294642857142857
Gaussian NB,0.695,0.5611510791366906,0.7410714285714286
Decision Tree,0.605,0.368,0.5416666666666666
XGBoost,0.755,0.5585585585585585,0.7746428571428571
LightGBM,0.73,0.49056603773584906,0.7702380952380952
CatBoost,0.775,0.5454545454545454,0.8146428571428571
EBM,0.78,0.6071428571428571,0.8139285714285713
